wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,fi-changes,ostrand,scattering,intensity,ana,acm,arl,boc,fch,frch,lch,wcd,wfr,tach,ataf,chd,lca,lcd,csb,csbs,acdf,cho,is-change-prone
23,1,0,31,57,203,25,6,18,0.934343434,565,0.222222222,0,0,0.22173913,0,0,23.17391304,3,1.4783,24,2,26,9.1,3,2,2,0.808186678,0.136260462,0.493041241,0.324088394,0.728676598,0.896165337,0.924876479,0.243350469,0.038187495,0.065973917,0.524941123,0.441020546,0.071501043,0.913887076,0.281373223,1
21,3,0,16,56,104,5,15,10,0.65625,500,1,3,0.32,0.2375,1,3,22.42857143,5,1.0952,16,3,50,9.1,2,1,2,0.087061201,0.938221436,0.782650557,0.188717614,0.175633971,0.382762508,0.071137971,0.623699787,0.719302782,0.397248969,0.771045761,0.694669548,0.945874331,0.466431487,0.968002748,0
20,2,0,9,46,102,2,8,16,0.578947368,454,1,2,0.413793103,0.128125,2,4,21.55,7,1.8,100,3,68,10,3,7,2,0.277089639,0.329782888,0.673892479,0.545549407,0.978605099,0.118818503,0.223296771,0.954446014,0.085529338,0.850119109,0.616835829,0.655557502,0.699371312,0.729530921,0.651889419,0
13,1,0,17,14,78,11,8,12,1.041666667,20,0,1,0,0.427083333,0,0,0.384615385,1,0.9231,55,1,35,0,1,6,3,0.530575749,0.946650623,0.662629246,0.55108672,0.995392247,0.768585734,0.828987643,0.740833929,0.266644842,0.77811378,0.308133131,0.872489513,0.425038709,0.043746109,0.892218916,0
6,2,0,7,14,15,3,5,5,2,57,0,0,0.705882353,0.333333333,2,3,8.5,3,1.1667,93,4,15,0,3,2,4,0.260961533,0.857835496,0.502615019,0.143728444,0.336307115,0.433749185,0.593531214,0.721031149,0.631668761,0.614261909,0.456882016,0.110691157,0.476321329,0.210706147,0.495441064,1
7,2,1,11,20,9,5,7,6,0.5,74,0,1,0.666666667,0.265306122,2,3,9.428571429,4,1.2857,67,4,51,0,2,2,4,0.486729809,0.066050124,0.762777318,0.198951214,0.923893607,0.314955928,0.456160912,0.510567785,0.220655638,0.600004242,0.592571408,0.891755897,0.427175737,0.195653747,0.798137293,0
8,2,0,8,19,8,3,6,7,0.428571429,93,1,1,0.631578947,0.25,2,3,10.5,5,1.5,77,1,8,0,3,6,3,0.976087952,0.090136818,0.997779834,0.079022511,0.478432046,0.080375865,0.804530835,0.266307358,0.227269531,0.846137023,0.576938231,0.67812391,0.707964915,0.787021546,0.438169296,0
35,2,0,16,103,317,3,16,28,0.81372549,865,0.888888889,0,0.688679245,0.152380952,1,10,23.45714286,3,1.0571,89,4,14,6.1,1,7,4,0.692433098,0.129526889,0.031866355,0.077245174,0.429224595,0.441293779,0.427505193,0.869949047,0.032139741,0.225786737,0.381951949,0.202092035,0.417134293,0.713039821,0.114108931,0
13,1,15,54,39,72,51,7,12,0.833333333,249,1,0,0,0.230769231,0,0,18.07692308,9,1.8462,43,1,45,0,3,8,1,0.040598431,0.310731072,0.855986021,0.256732867,0.251661827,0.434732713,0.706228826,0.131061094,0.286997696,0.599416288,0.73108053,0.43935505,0.808669101,0.715375435,0.832949419,0
20,1,0,12,77,64,3,10,5,0.71291866,1021,0.818181818,3,0,0.205263158,0,0,49.5,2,1,92,1,41,0,1,1,5,0.413880751,0.515861263,0.638199876,0.183717154,0.730070681,0.91310839,0.543479009,0.509645544,0.549595307,0.871862317,0.103837498,0.727078256,0.955332797,0.079801956,0.146097868,0
11,1,0,18,11,55,6,12,11,2,11,0,0,0,0.263636364,0,0,0,1,1,54,4,21,0,2,1,5,0.541849372,0.293183508,0.347368558,0.055385442,0.646343641,0.740915072,0.531298466,0.858234132,0.969404286,0.381403844,0.603610353,0.526501078,0.087686926,0.123901101,0.873648746,1
8,1,0,2,27,18,1,1,6,0.428571429,567,1,0,0,0.314285714,0,0,68.875,8,2.5,53,3,49,0,1,6,4,0.138936144,0.349702245,0.490121317,0.72225054,0.39434908,0.198442552,0.85690976,0.683515537,0.524096967,0.120862041,0.188770152,0.330072297,0.108892092,0.141795369,0.816939033,1
6,2,17,40,10,13,36,4,4,0.8,44,1,1,0.375,0.458333333,0,0,6.166666667,1,0.8333,42,3,50,0,2,8,5,0.353806835,0.125775711,0.461106221,0.105051137,0.02012288,0.092524535,0.446910794,0.427493819,0.306808209,0.290731478,0.767062372,0.213116061,0.785290286,0.305911991,0.959384305,0
6,3,0,3,18,7,1,2,4,0.85,112,0.5,0,0.7,0.4,1,2,17,1,0.5,51,4,11,0,3,1,5,0.5195137,0.951762824,0.006521674,0.506183805,0.187841449,0.074318097,0.849751632,0.268178103,0.364178627,0.684342321,0.653279063,0.530029602,0.112768307,0.025778095,0.655596117,1
6,3,0,16,33,3,1,16,6,0.4,297,1,1,0.88372093,0.351851852,2,3,48.16666667,1,0.8333,31,1,66,7.5,1,6,5,0.704429335,0.286700927,0.300929233,0.315666091,0.571575781,0.664114511,0.356492555,0.939803507,0.585179045,0.405054012,0.890212185,0.255011864,0.358902696,0.263847094,0.308780772,0
3,3,0,3,11,3,1,3,2,1.5,30,0,0,0.958333333,0.555555556,1,1,8.666666667,1,0.6667,85,2,20,0,2,1,2,0.563961732,0.539015288,0.137347445,0.611630851,0.172826894,0.483181251,0.859843372,0.072583366,0.1407162,0.415480147,0.932888274,0.467323578,0.280885593,0.30835636,0.036419224,0
3,3,0,5,11,3,0,5,3,1,55,1,0,0.958333333,0.666666667,1,2,17,1,0.6667,4,1,34,0,3,4,1,0.993050665,0.969259343,0.730627248,0.155351984,0.063842422,0.192635325,0.951483923,0.551992706,0.974019807,0.418744508,0.19608425,0.481078533,0.019232151,0.503216197,0.824228241,0
7,2,2,10,27,1,2,8,6,0.333333333,136,1,1,0.666666667,0.342857143,2,3,18.28571429,5,1.5714,57,4,34,0,3,4,5,0.079445213,0.174886598,0.634108352,0.28080127,0.056714615,0.639347801,0.757666017,0.397582887,0.841810578,0.571768522,0.9651246,0.119565988,0.167268952,0.434929898,0.668402822,1
2,1,3,16,3,1,15,1,2,2,5,0,0,0,1,0,0,1.5,1,0.5,77,1,59,0,2,5,1,0.857762709,0.657053444,0.26955708,0.178736491,0.79825938,0.708879624,0.013096351,0.661327543,0.406249872,0.530589691,0.169959638,0.634104566,0.516403875,0.076545271,0.206139994,0
17,2,0,8,28,0,2,6,17,2,482,0,0,0.709677419,0.307189542,1,6,27.35294118,4,0.8824,72,1,16,0,3,8,4,0.364328644,0.969453586,0.570385245,0.075320771,0.7906768,0.385448619,0.873100881,0.845499901,0.877670284,0.327711655,0.522525297,0.767427162,0.977177067,0.388637222,0.334443546,1
12,3,0,10,43,0,4,7,11,0.454545455,292,1,0,0.607142857,0.226190476,2,2,23.16666667,7,1.6667,74,3,63,0,1,1,3,0.492798206,0.949183308,0.238150503,0.805273374,0.837992662,0.518927744,0.964070378,0.340081011,0.708087661,0.581485149,0.517383844,0.461597264,0.176093204,0.877321709,0.31721039,0
6,2,0,10,20,0,3,9,6,0,84,1,1,0.285714286,0.416666667,2,2,12.83333333,2,1,8,3,48,0,3,8,1,0.150558764,0.529638379,0.112337792,0.279551374,0.418281424,0.798874778,0.172187195,0.379699675,0.835494327,0.537520381,0.795646065,0.71045642,0.228235095,0.609300949,0.880597881,0
33,2,0,16,69,0,0,16,24,0.7109375,801,1,1,0.701923077,0.170798898,1,9,23.03030303,4,1.1212,63,3,21,0,3,5,2,0.215913693,0.635441897,0.153422088,0.347562995,0.481670383,0.435592909,0.67043341,0.020103223,0.978933532,0.442130702,0.372174628,0.056603003,0.185658349,0.183939721,0.79667257,1
13,3,0,10,48,0,3,9,13,0.583333333,359,1,0,0.586206897,0.211538462,2,2,26.30769231,7,1.6923,82,2,29,0,2,3,1,0.796047494,0.659403608,0.539212418,0.553911799,0.174125053,0.048222977,0.683880044,0.634159804,0.484355137,0.74780739,0.22606869,0.232902279,0.661567508,0.162373137,0.455340131,0
16,2,1,22,53,0,2,21,14,0.466666667,577,1,1,0.605263158,0.23125,1,5,34.875,6,1.25,37,3,23,0,2,7,3,0.285772156,0.021510381,0.374477031,0.289672493,0.987015766,0.259866624,0.493257622,0.427391835,0.221252603,0.650725758,0.754429764,0.448527581,0.130273221,0.453645526,0.924556435,0
14,2,0,7,38,0,2,6,11,0.384615385,318,1,0,0.5,0.171428571,2,5,21.57142857,6,1.5714,61,1,42,0,3,2,2,0.727054666,0.309947851,0.513850015,0.838197711,0.832465659,0.499740845,0.176808045,0.473040582,0.030081169,0.460282573,0.5894089,0.819532882,0.402930885,0.157880562,0.998820169,0
15,2,0,10,43,0,4,7,11,0.614285714,382,1,0,0.461538462,0.191666667,2,3,24.13333333,9,2.1333,100,2,48,0,1,2,4,0.969325948,0.504153487,0.998018932,0.815456177,0.544479767,0.512363882,0.590417631,0.766662295,0.220457443,0.300664555,0.278534961,0.443956498,0.779060263,0.366482793,0.735946304,0
6,2,1,4,18,0,1,3,6,0.4,162,1,1,0.285714286,0.416666667,2,2,25.66666667,2,1,49,4,28,0,1,5,3,0.130570851,0.779900804,0.60319386,0.504902103,0.305855435,0.073772195,0.086031352,0.800255202,0.620139905,0.644448313,0.32832428,0.621456186,0.373846724,0.419370104,0.982121225,0
25,1,0,19,77,170,3,17,0,0.810897436,1041,0.846153846,5,0,0.208333333,0,0,40.12,5,1.2,64,2,8,8.1,1,9,3,0.859199576,0.396414771,0.003857618,0.586875789,0.500873978,0.414768706,0.468348463,0.155918151,0.674791065,0.17823147,0.111171564,0.717475292,0.121223265,0.119237883,0.385238764,1
17,1,2,53,26,124,51,4,16,0.875,94,1,1,0,0.18125,0,0,4.411764706,1,0.8824,23,4,46,6.3,1,8,4,0.896700191,0.165518647,0.048797317,0.762535563,0.493773601,0.851202409,0.689799278,0.619040159,0.098520542,0.500294865,0.135521962,0.171940365,0.952734254,0.40285394,0.39651771,0
21,2,2,10,47,108,3,8,15,0.920833333,817,0.333333333,1,0.24,0.26875,0,0,37.33333333,2,1,25,4,42,8.5,3,5,5,0.441072497,0.002811912,0.650416993,0.772320865,0.833003469,0.121279152,0.783803235,0.311021408,0.575209602,0.150296382,0.179324433,0.152489831,0.652180102,0.969385175,0.760400513,0
14,1,1,23,29,67,10,22,12,0.897435897,199,0.333333333,12,0,0.403846154,0,0,12.35714286,1,0.8571,14,3,51,0,1,7,5,0.811043159,0.060879442,0.787331707,0.308946621,0.381259224,0.929903685,0.536308203,0.341525508,0.010616852,0.470995591,0.786766459,0.35223408,0.886043266,0.365754972,0.992733105,0
51,1,0,25,77,43,23,2,45,0.655384615,1122,0.230769231,1,0,0.285714286,1,1,20.74509804,12,1.7255,64,3,26,0,3,3,5,0.911061959,0.944532082,0.120242772,0.32492895,0.871299546,0.200052894,0.395611053,0.48026281,0.83526516,0.802010002,0.628289772,0.432046653,0.909695635,0.029032364,0.347226193,0
23,1,0,31,128,39,4,30,0,0.812937063,1901,0.884615385,10,0,0.169421488,0,0,80.52173913,6,1.087,18,3,15,0,3,4,4,0.99707947,0.508078328,0.721094161,0.234641989,0.387544038,0.531180398,0.120459421,0.348305212,0.858109983,0.505602305,0.223887561,0.607386817,0.449386921,0.785852039,0.770197635,0
17,1,0,7,53,38,3,6,9,0.767857143,725,0.857142857,3,0,0.197916667,0,0,40.82352941,6,1.5294,3,2,63,0,2,4,3,0.243105796,0.734627251,0.415510356,0.510906062,0.273452532,0.36465234,0.66643479,0.628932105,0.170988692,0.324499085,0.529682837,0.879653281,0.260014522,0.308865823,0.343596144,0
12,3,0,8,29,26,1,7,7,0.609090909,461,1,3,0.444444444,0.305555556,1,3,36.58333333,2,1.0833,95,1,43,0,1,4,3,0.608550745,0.197422854,0.23851529,0.176107012,0.964685267,0.356214403,0.810616835,0.798007494,0.603851338,0.571740565,0.887788038,0.412069194,0.858674512,0.030225309,0.716306182,0
7,3,2,4,21,13,2,2,3,0.875,185,0.75,0,0.583333333,0.366666667,1,2,24.28571429,1,0.7143,9,4,41,0,1,6,4,0.506345194,0.603209409,0.503532636,0.687846876,0.248044691,0.455490096,0.014528876,0.873888485,0.230772661,0.65256181,0.839445877,0.550098468,0.933993949,0.012095847,0.023734218,1
17,2,0,13,48,12,4,10,13,0.625,413,1,0,0.428571429,0.158823529,2,4,23.05882353,7,2.0588,87,1,70,0,2,6,1,0.77184352,0.917628341,0.984667212,0.719125804,0.446198333,0.192510294,0.025364847,0.68686502,0.426745264,0.418305017,0.301451516,0.986393231,0.931244358,0.27420159,0.795676093,1
12,3,0,5,32,10,3,3,9,0.977272727,245,0.1875,1,0.4375,0.287878788,2,3,18.08333333,1,0.75,93,1,39,0,3,8,1,0.432507617,0.572646031,0.712267829,0.333055104,0.028182944,0.671274126,0.71549717,0.168130774,0.975254038,0.852363135,0.605855866,0.570272621,0.313236533,0.078402024,0.352465689,0
6,1,6,15,10,9,14,1,4,0.6,31,1,0,0,0.5,0,0,4,1,0.8333,77,3,69,0,1,4,4,0.778371843,0.256013182,0.881771168,0.052101696,0.145689865,0.770340854,0.660266213,0.158285358,0.726631945,0.588154714,0.902950259,0.261732737,0.996996524,0.670299547,0.189404909,0
2,1,0,1,5,1,1,0,0,1,44,0,0,0,1,0,0,17,0,0,21,2,60,8.5,2,1,5,0.233289507,0.78275522,0.375827167,0.321863731,0.595131728,0.050453259,0.954050744,0.235367782,0.307196946,0.759130015,0.427532327,0.72998798,0.466223036,0.977878505,0.849474896,0
8,2,0,16,22,0,11,6,6,0.142857143,100,1,1,0.631578947,0.232142857,2,2,11.375,4,1.375,49,2,44,0,1,3,4,0.526960274,0.548694095,0.399705408,0.869377501,0.705490329,0.869192168,0.764619767,0.062421171,0.379170211,0.680808351,0.128453039,0.096543549,0.059525781,0.767175181,0.784328327,0
7,1,1,13,46,0,2,12,7,0.69047619,357,1,2,0,0.30952381,0,0,49,1,0.8571,69,4,5,0,1,8,5,0.667739169,0.066001185,0.729982892,0.455955463,0.651945759,0.202662282,0.125765626,0.754588635,0.951375603,0.864846755,0.161445182,0.322799099,0.934445348,0.754979345,0.703563237,0
12,2,0,9,39,0,1,8,11,0.454545455,480,1,2,0.545454545,0.229166667,2,2,38.66666667,13,2.6667,90,2,55,0,2,6,1,0.216226582,0.08078154,0.076513051,0.524555812,0.695286905,0.674209112,0.468218261,0.765740591,0.240720336,0.865139733,0.745232871,0.74218389,0.207254207,0.178566916,0.912277861,0
4,2,4,10,6,0,9,1,2,0.333333333,22,1,0,0.714285714,0.75,0,0,4.25,1,0.5,97,4,55,0,2,2,5,0.359639584,0.772689404,0.057675942,0.241682927,0.847102932,0.29016742,0.388840759,0.794633091,0.584457054,0.455950384,0.880922519,0.236822948,0.768539069,0.322463798,0.136906861,1
14,3,0,7,32,0,1,7,12,0.423076923,224,1,2,0.566666667,0.214285714,2,2,14.85714286,6,1.2857,91,3,14,0,3,5,3,0.28696457,0.536574926,0.288909801,0.43381934,0.46075635,0.382640579,0.158106218,0.210597585,0.903226856,0.642072846,0.434674868,0.558734679,0.274564207,0.502241136,0.339338733,0
9,3,0,10,31,0,1,9,7,0.545454545,409,1,2,0.5,0.285714286,1,3,43.22222222,2,1,86,4,53,0,2,3,3,0.364891126,0.84616207,0.084523782,0.918388958,0.248137048,0.259311545,0.465855689,0.498761807,0.214883995,0.001025834,0.083658422,0.295559454,0.814416493,0.005341658,0.019314488,0
13,3,2,9,34,0,2,7,6,0.666666667,345,1,4,0.4,0.21978022,1,3,24.84615385,3,1.1538,83,2,67,0,1,8,2,0.614526958,0.699757993,0.272791891,0.729251237,0.222197754,0.060284807,0.905337665,0.224802118,0.699101386,0.857277461,0.625284043,0.980819834,0.752931197,0.488937383,0.505107641,0
19,2,0,10,36,0,0,10,18,0.537037037,242,0.666666667,0,0.384615385,0.25,1,2,11.42105263,1,0.4211,98,4,42,0,2,4,2,0.988894467,0.147993324,0.624328264,0.736727048,0.065270643,0.321959617,0.695528441,0.019226715,0.812757648,0.788501384,0.149720792,0.848711623,0.24939939,0.334818537,0.732485309,0
81,1,1,34,168,2716,1,33,44,0.908333333,3477,0.571428571,12,0,0.093421053,0,0,41.40740741,23,2.1852,45,1,28,10,2,3,2,0.951208116,0.403594066,0.393743731,0.162155374,0.423165311,0.74793468,0.141734047,0.08119059,0.95610536,0.963864185,0.575693118,0.73342656,0.952056425,0.46131367,0.011950682,0
24,1,3,41,29,270,30,14,23,0.913043478,138,1,1,0,0.275,0,0,4.708333333,1,0.9583,64,2,27,7.5,1,7,5,0.853933421,0.033184516,0.474583408,0.486981551,0.625047858,0.686943825,0.334473279,0.70184129,0.189720477,0.814343902,0.049559165,0.613005937,0.368351766,0.092241154,0.284266708,0
20,2,0,22,62,172,2,21,5,0.855263158,438,0.75,3,0.4,0.245614035,1,4,20.7,7,1.25,73,3,19,7.5,2,2,3,0.61862692,0.731121463,0.667545853,0.256376633,0.329101281,0.817823071,0.58664195,0.30719615,0.502233017,0.535079944,0.707670391,0.297725727,0.410999884,0.9828918,0.364260989,0
17,2,0,6,34,34,1,6,7,0.722222222,323,0.777777778,1,0.444444444,0.173611111,1,2,17.47058824,3,1,4,3,45,0,1,1,5,0.216557609,0.175359683,0.561983192,0.277388006,0.593967191,0.541508997,0.108958571,0.520550823,0.128839067,0.919754168,0.302012497,0.763012715,0.619812704,0.603042764,0.672912073,0
7,1,1,6,9,21,2,5,1,2,15,0,0,0,0.428571429,0,0,1.142857143,1,0.8571,20,1,68,0,1,5,4,0.450109526,0.465348695,0.530682682,0.711621294,0.875968623,0.580068154,0.423690961,0.744418914,0.420594016,0.027003237,0.189127446,0.626892107,0.559312995,0.777002717,0.957716713,1
6,3,0,4,10,15,1,3,6,2,31,0,0,0.615384615,0.666666667,1,3,4.166666667,1,0.8333,79,4,51,0,2,7,2,0.534965483,0.641960715,0.337929389,0.562453481,0.452114305,0.282757948,0.01666457,0.762002875,0.764486939,0.178862208,0.182316964,0.271966284,0.892129194,0.280688297,0.501338697,0
6,2,5,20,8,15,14,7,5,2,17,0,0,0.705882353,0.5,1,1,1.833333333,1,0.8333,56,1,14,0,1,9,1,0.983072243,0.789449882,0.860850302,0.056777306,0.768883942,0.139118648,0.727551491,0.858196329,0.054296383,0.791239398,0.767127041,0.111924751,0.628171477,0.895731761,0.318538707,0
6,1,0,48,6,15,45,4,6,2,6,0,0,0,0.416666667,0,0,0,1,1,47,3,36,0,3,8,5,0.286386881,0.219442712,0.424039419,0.421276892,0.216794912,0.999096721,0.37844126,0.960117415,0.212227302,0.536422551,0.180113853,0.502585441,0.049588942,0.420619854,0.841385507,0
13,2,0,14,43,10,4,13,5,0.729166667,498,0,3,0.352941176,0.208333333,0,0,36.69230769,9,1.8462,43,3,68,0,2,2,1,0.901404302,0.236959945,0.247464368,0.553234592,0.83075021,0.500199257,0.14069252,0.297173536,0.261329266,0.337616036,0.850890905,0.797467227,0.811508192,0.138864037,0.592748401,1
7,2,0,5,27,9,2,3,4,0.333333333,186,1,0,0.5,0.571428571,0,0,25.42857143,2,0.7143,3,3,10,0,1,8,3,0.034466074,0.988469321,0.507654065,0.085869247,0.416167506,0.201679889,0.140066141,0.080657288,0.448695931,0.695509618,0.707457313,0.047893662,0.718553123,0.244201858,0.348070903,0
10,3,0,13,41,7,1,12,9,0.638888889,286,0.5,0,0.72,0.285714286,2,6,27.2,6,1.4,9,3,40,0,2,9,5,0.727850638,0.89197003,0.512167797,0.348205385,0.600889645,0.925755805,0.80013949,0.702873618,0.919445744,0.846878211,0.84480751,0.847628019,0.677145899,0.72282968,0.285425626,0
4,1,4,14,5,6,14,0,4,2,7,0,0,0,0.625,0,0,0.75,1,0.75,24,3,42,0,1,4,4,0.746644479,0.149108019,0.487345386,0.719474047,0.312876211,0.805855978,0.424002013,0.95579838,0.441483948,0.255212999,0.056822135,0.822039497,0.32358931,0.192666512,0.623850583,0
4,3,0,8,12,4,1,7,3,0.666666667,55,1,0,0.857142857,0.5,1,1,12.5,2,1,39,1,32,0,3,1,2,0.766394822,0.839322798,0.479338724,0.878044513,0.183676481,0.541900766,0.514232056,0.769267917,0.68104571,0.933383824,0.731439997,0.261800796,0.827930124,0.199649204,0.249966417,0
5,1,0,5,18,4,4,3,4,0.821428571,112,1,2,0,0.35,0,0,20,2,1.2,71,1,14,0,3,1,4,0.361543426,0.096025421,0.868424487,0.444887542,0.377683589,0.362612639,0.331154868,0.968700066,0.529020645,0.098332744,0.609111642,0.401116803,0.373604141,0.471058937,0.83287532,0
6,3,0,3,8,3,1,2,5,1.2,54,0,0,0.833333333,0.5,1,2,7.666666667,1,0.8333,80,1,25,0,3,7,4,0.294641704,0.864807675,0.996598146,0.521569711,0.347169859,0.194858354,0.189381971,0.552346374,0.978058532,0.657798918,0.904533837,0.840484686,0.812861906,0.625878783,0.927340761,0
16,2,0,9,41,2,1,9,15,0.577777778,386,0.333333333,0,0.633333333,0.3625,1,6,22.9375,2,0.8125,62,3,36,0,2,6,1,0.60634706,0.743682611,0.408449253,0.622779059,0.013103481,0.540022067,0.992631637,0.98807545,0.05045627,0.029074708,0.29166549,0.613985095,0.997976272,0.842182675,0.565248827,0
4,1,0,0,18,0,0,0,3,1.166666667,127,0.5,0,0,0.333333333,0,0,29.25,6,2.5,61,3,40,0,1,7,3,0.006200413,0.405356241,0.205317884,0.503381976,0.871746451,0.557410027,0.50683077,0.029687809,0.276826068,0.78979299,0.252024744,0.40110468,0.288230672,0.981555582,0.835350528,0
3,2,0,21,37,0,8,16,2,0.333333333,340,0.333333333,6,0.5,0.466666667,0,0,110.3333333,1,0.6667,38,4,69,0,3,2,5,0.064185088,0.101530484,0.012732368,0.380011328,0.527033731,0.854686257,0.871497976,0.552761677,0.225544888,0.660745838,0.286267407,0.383089882,0.732689096,0.67054489,0.95128553,0
10,1,0,6,25,0,3,3,10,0.703703704,180,1,2,0,0.325,0,0,16.4,3,1.1,15,1,63,0,2,2,3,0.703066948,0.749237472,0.061128308,0.047185852,0.148733538,0.485339642,0.849407785,0.910030286,0.582985274,0.320734264,0.48904647,0.24383186,0.428746997,0.839143077,0.307887144,0
7,3,1,7,25,0,2,5,5,0.520833333,190,1,2,0.571428571,0.30952381,1,3,25,1,0.8571,34,1,61,0,3,2,2,0.491515638,0.099204975,0.87984887,0.387960757,0.35638911,0.653182308,0.314536219,0.306290253,0.28452718,0.553449489,0.987153089,0.815282921,0.556463596,0.216301668,0.025768388,1
6,2,0,9,28,0,1,8,6,0,149,1,1,0.705882353,0.333333333,2,3,23.66666667,4,1.5,42,3,4,0,2,1,2,0.238007246,0.486253136,0.104426189,0.779109691,0.029041572,0.623878927,0.478287711,0.692841337,0.196351208,0.226385105,0.740938602,0.867403778,0.588675435,0.282476343,0.484189535,0
